model,seed,case_id,condition,snr,noise_seed,mode,origin,prediction_path,prediction_sha256,prediction_case_id,checkpoint_sha256,input_sha256,cohort_sha256,ids_sha256,patient_ids_sha256,indices_sha256,y_sha256,thresholds_sha256,run_fingerprint,config_sha256,manifest_sha256,freeze_sha256,source_sha256,p_sha256,macro_auroc,macro_f1,ece
tcn,17,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_17/S_00__snr_0__noise_8128.npz,f1eea05c99e4c86d5e904d6ca498f27155f50f458a50dab7782ab909d084a60b,S_00__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,a0792c529727604506b00a83d24184dc3442aa568b6308310d16bd1ab381e5ee,0.8884626314107461,0.5826810153351986,0.12884426040970226
tcn,29,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_29/S_00__snr_0__noise_8128.npz,ee26f7b8a81b5712fdd49090f311d23e357944db8d4332f27ce98c8a75debb09,S_00__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,e254e6c7e066c61cd47d4d5ffe339ef03979438fdb6a1fbeaca8407238b9bfec,0.893799178810964,0.5715599991628834,0.16920528922616687
tcn,43,S_00__snr_0__noise_8128,S_00,0,8128,S_00,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_43/S_00__snr_0__noise_8128.npz,ef5f0360b7003dbca70c6a82f0ea94a6433baeb71cfd91994323861e53ab424f,S_00__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,c9c94760eaa2a6ff14965a8272b54a95a7872fdfe4f6d0c863a72ea4f59833a8,0.9020107738569468,0.6529808408393591,0.06007049696794447
tcn,17,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_17/S_01__snr_0__noise_8128.npz,16b573238b1c774043d59fc5ce1bcd952d7559dedbb6aacf3342c696575ce08e,S_01__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,c9f7302b910ac1c991a30860748f9e5442d831a3241db514a8c540df070993c3,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,de0538c44d5347e923f2d290292068ae23fab8566342b3e46e23597f06f9c740,0.8909325829492667,0.601354572102957,0.12932063234837046
tcn,29,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_29/S_01__snr_0__noise_8128.npz,9bc72be54959d4d31345bd15ecf531d48a6c4a0316da486430939a9edfaca650,S_01__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,c9f7302b910ac1c991a30860748f9e5442d831a3241db514a8c540df070993c3,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,90d1ff81a1fec5af323ca75455df0ec326842a294a762a9d2e632ebf5c06d673,0.8761532995586041,0.42624241542871755,0.276308252940695
tcn,43,S_01__snr_0__noise_8128,S_01,0,8128,S_01,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_43/S_01__snr_0__noise_8128.npz,e56d41c65e7ca9ed7f557a4f6acf58fcc2946bdabc559dff9d47454b5b62c73f,S_01__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,c9f7302b910ac1c991a30860748f9e5442d831a3241db514a8c540df070993c3,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,661f21fa256a4b6f56021053d4864c0750ab59aa3bc46978fd20960e39f5cd99,0.8941335787287914,0.5875167146007936,0.09557183041281317
tcn,17,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_17/S_02__snr_0__noise_8128.npz,33bd78a8e28e473cd64f01013de3dee2daf44f18a76d673b9e3d740f68b60743,S_02__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,37e4eb1a8237776a36a07c840316a361b9736ec5f26f5a14a610c8489b4569dc,0.8873086313586928,0.5782610389898062,0.14762937362401632
tcn,29,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_29/S_02__snr_0__noise_8128.npz,2f33d61c921d98a7bd4a27c206235e1a16f982089c18a95f89e06e9a053cfbe2,S_02__snr_0__noise_8128,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,791fbf0318d34ae78a0ec30037e1ddda0a253c2d224d63d3663aeb6d0daac956,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,c4e9808f87e29b3aaab5394fdfb0d35d31ba378f8240f8e1c38d829315cd0baa,0.8729061678557752,0.42209434353613373,0.2808289526634616
tcn,43,S_02__snr_0__noise_8128,S_02,0,8128,S_02,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_43/S_02__snr_0__noise_8128.npz,23418413ecad1537ece15392e639aeba544c589c06d145f8b50ec4e571e19b7d,S_02__snr_0__noise_8128,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,e92dc663a5eb620b3a8d6af62b6da3cc0c45e5b900d15fd223e5b392f07c1f0b,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,57ac50ae4160264d512f868b6a57a8642e4c012b39c14fef7a47e5772a93c7e5,0.8926994523183227,0.5649409218097523,0.11940146957578497
tcn,17,S_03__snr_0__noise_8128,S_03,0,8128,S_03,new,signed_control_mechanism/predictions/full/worker_tcn_0/seed_17/S_03__snr_0__noise_8128.npz,5c92d44a4a37c847dd069f94a1592714c1c8b6b812b353d46f904af884777d56,S_03__snr_0__noise_8128,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,986bf33a5449edbf1ab9173efd61e23024b77dee4fc5bd019f53b33069bf9e88,bf8e9c8aae5066cf8e49d3f701dcc9b3236b12dfe38fe034c1194f261670e9e7,6d301c8a20ab02ba26f46bc23b36845c9fddb0bdd36eeffac2682590af3d0ccb,468803c21ba5d6b253ab96b82ce6d70f7e2579b3925ff5d086c357b4dc50a4be,ed2c59bd45c8182eae90ee65187a79a96948ae2d422c59246e2623271d4c78aa,b0545de7eab0013e91ce0e020fa47f653ed7e5485a73285ff464236de495755d,45f3681b1729b5e5f5c33afb1cf9f102055966aa1f79952b616b848eebe0c690,061dd5402805603bbfb9354eba460b06605d72c060b8cb073d01a8185d2da105,529cd33fdb0927fc88124e6993cac44ecd5a4b4a01a0b814e8602dfbd99d70cd,35f6414a484e65227b04d3717f37e1f9b609e1020f1cf3513277e267c8f41d4a,992359abafe74141bc0f65ba122c0f0d5efbc1ea0eaeafac16c28f89576ad2cb,abf399d3e32dab7d6f1f035847ff1d5676bf0915004a2f30f4d46dc024f402cc,846fbc62f9bf074edcaa6474a0d1f7c9a172cfbaa8a57d6b6bc0e501747ae631,0.8927610359800774,0.6304014876709143,0.10356294490341737
